kitchen_name,oracle_code,cluster_marker,rent,city,zone,format_final,entity,status,reason_for_change,lock_in,lock_in_end_date,ops_closed,last_ops_date,last_rent_date,ll_clearance,shut_suspend_continue,dec_net_revenue,dec_ebitda,sd,sd_adjustment,sd_recovery,remarks,notice_period,remarks_2,rental_hit_till_lock_in,capex,framework,closure_phasing,hr_remarks
HSR - Arambam,CFIBLR022,5,,Bangalore,South,Restaurant,MLE,Yes,,No,,Yes,27-Feb-26,10-Apr-26,Yes,Done,"8,26,531","-4,24,004","25,00,000",0,0,LL Discussion in process,60 days,Closed,,,1,1,Employees Transferred
BOM Chembur,CFIBOM006,7,"1,21,551",Mumbai,West,Cloud,"CFI ,CZ, Olio",Yes,,No,,Yes,25-Feb-26,31-Mar-26,Yes,Done,"14,73,168","-1,61,811","4,00,000","4,17,142",0,LL Discussion in process,60 days,Closed,,,1,1,Employee Communication done
Andheri West,CFIBOM003,18,"2,64,662",Mumbai,West,Cloud,"CFI, CZ, Olio, ROW",Yes,,No,,Yes,25-Feb-26,13-Apr-26,Yes,Done,"18,75,612","-1,23,839","7,75,001","5,56,321","2,18,680",LL Discussion in process,60 days,Closed,,,1,1,Employee Communication done
BOM Fort,CFIBOM007,21,,Mumbai,West,Cloud,"CFI, CZ, Olio, ROW",Yes,,No,,Yes,25-Feb-26,10-May-26,Yes,Done,"15,83,993","-2,83,834","6,00,000","4,18,117","1,81,883",LL Discussion in process,90 days,Closed,,,1,1,Employee Communication done
BOM Lower Parel,CFIBOM010,23,,Mumbai,West,Cloud,"CFI, CZ",Yes,,Yes,01-Dec-26,No,00-Jan-00,00-Jan-00,No,Hold,"16,13,521","-3,82,929","7,00,000",0,0,Under lock-in. Negotiation with LL in process,90 days,Mail not initiated,"29,73,600",,4,4,Employee Communication done
BOM Vakola,CFIBOM018,30,"1,45,125",Mumbai,West,Cloud,CFI,Yes,,No,,Yes,25-Feb-26,10-Apr-26,Yes,Done,"11,10,930","-1,83,363","4,50,000",0,0,LL Discussion in process,60 days,Closed,,,1,1,Employee Communication done
BOM Thane West,CFIBOM017,31,"1,38,239",Mumbai,West,Cloud,CFI,Yes,,No,,Yes,25-Feb-26,30-Apr-26,Yes,Done,"21,42,307","-1,36,676","7,50,000",0,0,LL Discussion in process,60 days,Closed,,,1,1,Employee Communication done
BOM_BOR,CFIBOM020,33,"1,82,133",Mumbai,West,Cloud,CFI,Yes,,Closed,,Yes,05-Jan-26,31-Jan-26,Yes,Done,"16,58,672","-1,88,145","5,60,000","5,25,541","34,459",LL Discussion in process,60 days,Closed,,,1,,Transferred
Indiranagar Dine In ,NOMKA004,42,,Bangalore,South,Restaurant,Nomad,Yes,,Yes,05-Feb-27,Yes,31-Jan-26,28-Feb-26,Yes,Done,"13,31,633","-1,79,686","15,00,000","5,40,000","9,60,000",SD Recovery done,60 days,Closed,,,4,,
Yeshwantpur,CFIBLR031,63,,Bangalore,South,Cloud,"CFI, SB",Yes,,No,,Yes,10-May-26,15-May-26,Yes,Done,"2,45,252","-29,643","4,40,000",,"79,660",To be moved to Mathikere. No power at Mathikere.,60 days,Closed,,,,3,Communication on Hold due to Eid
Omr,SHBMAA002,83,,Chennai,South,Restaurant,"SB, Arambam",Yes,,No,,Yes,31-Mar-26,31-Mar-26,Yes,Done,"16,43,594","-2,52,324","10,00,000",,0,LL Discussion in process,30 days,Closed,,,2,3,Venkanna said not getting closed
Ggn_Paras Trinity,POMDEL002,102,"34,150",Gurgaon,North,Cloud,Olio,Yes,,Yes,31-May-26,Yes,23-Feb-26,28-Feb-26,Yes,Done,"5,78,676","-48,005","50,000","1,14,000","61,607",SD Recovery done,60 days,Closed,,,,2,Staff Merged
Salem,SHBSAL001,A191,,Salem,South,Restaurant,SB,Yes,,No,,Yes,31-Mar-26,31-May-26,Yes,,"21,21,787","-1,78,833","13,50,000",,0,LL Discussion in process,90 days,Closed,,,0,,
GGN Sector 53,CFIGGN005,111,"1,10,250",Gurgaon,North,Cloud,CFI,Yes,,No,,Yes,25-Feb-26,15-Feb-26,Yes,Done,"12,78,339","-2,30,879","3,00,000","2,27,948","72,052",SD Recovery done,60 days,Closed,,,1,1,Communication Done 
Kilpauk,CFIMAA015,A344,,Chennai,South,Takeaway,SB,Yes,,No,,Yes,31-Mar-26,31-May-26,Yes,,"7,33,781","-1,69,052","6,90,000",0,0,,90 days,Closed,,,0,,
PNQ Shivaji Nagar,CFIPNQ007,151,"1,33,706",Pune,West,Cloud,CFI,Yes,,No,,Yes,25-Feb-26,11-Apr-26,Yes,Done,"17,33,585","-1,48,635","3,30,000",0,0,LL Discussion in process,60 days,Closed,,,1,1,Employee Communication done
Klk_Mhl,CKZKOL001,163,"55,650",Kolkata,East,Cloud,CZ,Yes,,Closed,,Yes,05-Jan-26,31-Jan-26,Yes,Done,"1,61,498","-1,27,205","1,59,000","57,085","1,01,915",SD Recovery done,60 days,Closed,,,1,,
Kanakpura,CFIBLR033,175,"76,650",Bangalore,South,Cloud,"CFI, SB",Yes,,No,,Yes,31-Mar-26,15-Mar-26,Yes,SB pending,"16,05,287","-3,80,941","4,38,000",,0,LL Discussion in process,60 days,Closed,,,3,2,Active as per Govind 
